Code,Definition
1,U.S. Fish and Wildlife Service (federal agency)
2,California Department of Fish and Game (state agency)
3,California Department of Water Resources (state agency)
4,Cramer Fish Sciences (consulting firm)
5,FISHBIO Environmental (consulting firm)
6,East Bay Municipal Utility District (utility district)
7,"Natural Resource Scientists, Inc. (consulting firm)"
8,Pacific States Marine Fisheries Commission (natural resource commission)
250,Other
251,Not recorded
252,Not applicable (n/a)
253,Unknown
254,See Comments
255,Not yet assigned
