Code,Definition
1,Adipose fin
6,Anal fin
5,Caudal fin
4,Caudal fin bottom lobe
3,Caudal fin top and bottom lobes
2,Caudal fin top lobe
23,Caudal peduncle
24,Caudal peduncle left side
25,Caudal peduncle right side
14,Dorsal fin
26,Head
22,Internal / coelom
15,Left side
17,"Left side, back"
16,"Left side, front"
13,Nose
252,Not applicable (n/a)
251,Not recorded
255,Not yet assigned
250,Other
10,"Pectoral fin, left"
11,"Pectoral fin, left and right"
12,"Pectoral fin, right"
7,"Pelvic fin, left"
8,"Pelvic fin, left and right"
9,"Pelvic fin, right"
18,Right side
20,"Right side, back"
19,"Right side, front"
254,See Comments
253,Unknown
21,Whole body
