Code,Definition
5,12' RST
1,5' RST
3,8' RST
16,Analog hand-held thermometer
17,Analog thermograph
29,Barometer
26,Chemical method
11,Dam
13,Data logger with probe
14,Data logger without probe
24,Dye
21,Electronic depth finder
15,Electronic meter
31,Electronic pressure transducer
23,Float / drogue
32,Fyke net
20,Gauging station (non-USGS)
8,Inclined plane trap
30,Mechanical meter
252,Not applicable (n/a)
251,Not recorded
255,Not yet assigned
250,Other
22,Pole / measuring stick
27,Rain gauge
7,Rotary screw trap
9,Scoop trap
25,Secchi disk
254,See Comments
12,Sonar
18,Staff gauge
28,U.S. National Weather Service records
253,Unknown
19,USGS gauging station
10,Weir
