taxonID,commonName,latinName,kingdomCommon,phylumCommon,classCommon,orderCommon,familyCommon,genusCommon,speciesCommon,subspeciesCommon,kingdomLatin,phylumLatin,classLatin,orderLatin,familyLatin,genusLatin,speciesLatin,subspeciesLatin
159697,Unknown lamprey (Entosphenus or Lampetra),,Animals,Chordates,Lampreys,Lampreys,Lampreys,,,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,,,
159698,Pacific lamprey,Entosphenus tridentatus,Animals,Chordates,Lampreys,Lampreys,Lampreys,,,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petramyzontidae,Entosphenus,Tridentata,
159700,Unknown Lampetra,Lampetra sp.,Animals,Chordates,Lampreys,Lampreys,Lampreys,,,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,,
159707,Western brook lamprey,Lampetra richardsoni,Animals,Chordates,Lampreys,Lampreys,Lampreys,,Western brook lamprey,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,richardsoni,
159709,Kern brook lamprey,Lampetra hubbsi,Animals,Chordates,Lampreys,Lampreys,Lampreys,,Kern brook lamprey,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,hubbsi,
159710,Pit-Klamath brook lamprey,Lampetra lethophaga,Animals,Chordates,Lampreys,Lampreys,Lampreys,,Pit-Klamath brook lamprey,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,lethophaga,
159713,Pacific lamprey (no longer valid),Lampetra tridentata,Animals,Chordates,Lampreys,Lampreys,Lampreys,,Pacific Lamprey,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,tridentata,
161030,Unknown bony fish,,Animals,Chordates,Spiny rayed fishes,,,,,,Animalia,Chordata,Actinopterygii,,,,,
161064,Sturgeon,Acipenseridae,Animals,Chordates,Spiny rayed fishes,Sturgeons,Sturgeons,,,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,
161067,Green sturgeon,Acipenser medirostris,Animals,Chordates,Spiny rayed fishes,Sturgeons,Sturgeons,,Green sturgeon,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,medirostris,
161068,White sturgeon,Acipenser transmontanus,Animals,Chordates,Spiny rayed fishes,Sturgeons,Sturgeons,,White sturgeon,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,
161127,American eel,Anguilla rostrata,Animals,Chordates,Spiny rayed fishes,Eels,Freshwater eels,,American eel,,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,
161702,American shad,Alosa sapidissima,Animals,Chordates,Spiny rayed fishes,Anchovies,Herrings,,American shad,,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,
161738,Threadfin shad,Dorosoma petenense,Animals,Chordates,Spiny rayed fishes,Anchovies,Herrings,,Threadfin shad,,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma,petenense,
161931,Salmonid,Salmonidae,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,,,,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,,,
161974,Oncorhynchus,Oncorhynchus,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,Pacific salmons,,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,,
