Code,Definition
19,°F
18,C
3,centimeter (cm)
11,centimeters/second (cm/sec)
12,cubic feet/second (cfs)
13,cubic meters/second (m3/sec)
26,each
8,feet/second (ft/sec)
25,fish
6,foot (ft)
14,gram (g)
7,inch (in)
33,inches of mercury
30,Jackson turbidity units (JTU)
15,kilogram (kg)
1,kilometer (km)
2,meter (m)
9,meters/second (m/sec)
36,mg/L
29,microSiemens/cm (µS/cm = µmho/cm)
5,mile
4,millimeter (mm)
28,milliSiemens/cm (mS/cm = mmho/cm)
35,minute
37,mm of mercury
20,nephelometric turbidity units (NTU)
252,Not applicable (n/a)
251,Not recorded
255,Not yet assigned
250,Other
17,ounce (oz)
23,parts per million (ppm)
24,parts per thousand (ppt))
21,percent (%)
22,percent saturation
16,pound (lb)
34,second
254,See Comments
27,Siemens/cm (S/cm = mho/cm)
32,square feet (ft2)
31,square meters (m2)
253,Unknown
