code,commonName,latinName,kingdomCommon,phylumCommon,classCommon,orderCommon,familyCommon,genusCommon,speciesCommon,subspeciesCommon,kingdomLatin,phylumLatin,classLatin,orderLatin,familyLatin,genusLatin,speciesLatin,subspecieslatin
161980,Chinook salmon,Oncorhynchus tshawytscha,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Chinook salmon,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,tschawytscha,
161989,Steelhead / rainbow trout,Oncorhynchus mykiss,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,,Steelhead / rainbow trout,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,
162033,Wakasagi / Japanese smelt,Hypomesus nipponensis,Animals,Chordates,Spiny rayed fishes,Smelts,Smelts,,Wakasagi / Japanese smelt,,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,nipponensis,
167233,Prickly sculpin,Cottus asper,Animals,Chordates,Spiny rayed fishes,Scorpion fishes,Sculpins,,Prickly sculpin,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,asper,
167234,Riffle sculpin,Cottus gulosus,Animals,Chordates,Spiny rayed fishes,Scorpion fishes,Sculpins,,Riffle sculpin,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,gulosus,
167229,Unknown sculpin (Cottus),Cottus sp.,Animals,Chordates,Spiny rayed fishes,Scorpion fishes,Sculpins,,,,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,,
159698,Pacific lamprey,Entosphenus tridentatus,Animals,Chordates,Lampreys,Lampreys,Lampreys,,,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petramyzontidae,Entosphenus,Tridentata,
622248,River lamprey,Lampetra ayresii,Animals,Chordates,Lampreys,Lampreys,Lampreys,,River lamprey,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,ayresii,
159697,Unknown lamprey (Entosphenus or Lampetra),,Animals,Chordates,Lampreys,Lampreys,Lampreys,,,,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,,,
163524,Sacramento pikeminnow,Ptychocheilus grandis,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Sacramento pikeminnow,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,grandis,
163587,Hardhead,Mylopharodon conocephalus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Hardhead,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Mylopharodon,conocephalus,
163569,Hitch,Lavinia exilicauda,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Hitch,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Lavinia,exilicauda,
163368,Golden shiner,Notemigonus crysoleucas,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Golden shiner,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas,
163350,Goldfish,Carassius auratus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Goldfish,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,
163908,Sacramento sucker,Catostomus occidentalis,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Suckers,,Sacramento sucker,,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,occidentalis,
163589,Sacramento blackfish,Orthodon microlepidotus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Sacramento blackfish,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Orthodon,microlepidotus,
163387,Speckled dace,Rhinichthys osculus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Speckled dace,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,osculus,
163603,Splittail,Pogonichthys macrolepidotus,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,Splittail,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pogonichthys,macrolepidotus,
163342,Unknown minnow,,Animals,Chordates,Spiny rayed fishes,Cypriniforms,Carps and minnows,,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,,
168141,Bluegill,Lepomis macrochirus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Bluegill,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,
168132,Green sunfish,Lepomis cyanellus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Green sunfish,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,cyanellus,
168144,Pumpkinseed,Lepomis gibbosus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Pumpkinseed,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gibbosus,
168154,Redear sunfish,Lepomis microlophus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Redear sunfish,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,microlophus,
168130,Unknown sunfish (Lepomis),Lepomis sp.,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,,
553322,Tule perch,Hysterocarpus traskii,Animals,Chordates,Spiny rayed fishes,Perciforms,Surfperches,,Tule perch,,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hysterocarpus,traskii,
168175,Sacramento perch,Archoplites interruptus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Sacramento perch,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Archoplites,interruptus,
168166,White crappie,Pomoxis annularis,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,White crappie,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,annularis,
168167,Black crappie,Pomoxis nigromaculatus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Black crappie,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,
168160,Largemouth bass,Micropterus salmoides,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Largemouth bass,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,
550562,Smallmouth bass,Micropterus dolomieu,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Smallmouth bass,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieu,
168161,Spotted bass,Micropterus punctulatus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Spotted bass,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,punctulatus,
168163,Redeye bass,Micropterus coosae,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Redeye bass,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,coosae,
168139,Warmouth,Lepomis gulosus,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,Warmouth,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gulosus,
168158,Unknown bass (Micropterus),Micropterus sp.,Animals,Chordates,Spiny rayed fishes,Perciforms,Sunfishes,,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,,
161702,American shad,Alosa sapidissima,Animals,Chordates,Spiny rayed fishes,Anchovies,Herrings,,American shad,,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,
168487,Bigscale logperch,Percina macrolepida,Animals,Chordates,Spiny rayed fishes,Perciforms,Perches,,Bigscale logperch,,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,macrolepida,
164039,Black bullhead,Ameiurus melas,Animals,Chordates,Spiny rayed fishes,Catfishes,North American catfishes,,Black bullhead,,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas,
162003,Brook trout,Salvelinus fontinalis,Animals,Chordates,Spiny rayed fishes,Salmons and trouts,Pacific salmons,Chars,Brook trout,,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,
