Definition
fahrenheit (f)
celsius (c)
centimeter (cm)
centimeters/second (cm/sec)
cubic feet/second (cfs)
cubic meters/second (m3/sec)
feet/second (ft/sec)
fish
foot (ft)
gram (g)
inch (in)
inches of mercury
Jackson turbidity units (JTU)
kilogram (kg)
kilometer (km)
meter (m)
meters/second (m/sec)
milligram/liter (mg/l) 
microSiemens / centimeter (µS/cm)
mile (mi)
millimeter (mm)
milliSiemens/cm (mS/cm = mmho/cm)
minute (min)
mm of mercury
nephelometric turbidity units (NTU)
ounce (oz)
parts per million (ppm)
parts per thousand (ppt)
percent (%)
percent saturation
pound (lb)
second (s)
siemens/centimeter (S/cm)
square feet (ft2)
square meters (m2)
not recorded
